report_number,collision_date,collision_time,primary_road,secondary_road,collision_day_of_week,number_of_parties,primary_collision_factor,hit_and_run,collision_type,involved_with,pedestrian_action,reporting_district,police_beat,violation,timestamp,intersection,Latitude,Longitude,Accuracy Score,Accuracy Type,City,State,County,Zip
2023-0008180,2023-09-19,08:15:00,37TH ST,MACDONALD AVE,Tuesday,,Auto R/W Violation,No,Head-On,Other Motor Vehicle,No Pedestrian Involved,NORTHERN,7,21801(a),2023-09-19 08:15:00,"37TH ST AND MACDONALD AVE, RICHMOND, CA",37.933836,-122.334233,1.0,intersection,Richmond,CA,Contra Costa County,94805
2023-0008189,2023-09-19,11:00:00,MACDONALD AVE,21ST ST,Tuesday,,Unsafe Lane Change,No,Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,CENTRAL,4,21658(a),2023-09-19 11:00:00,"MACDONALD AVE AND 21ST ST, RICHMOND, CA",37.935716,-122.349559,1.0,intersection,Richmond,CA,Contra Costa County,94801
2023-0008192,2023-09-20,14:06:00,BARRETT AVE,24TH ST,Wednesday,,Traffic Signals and Signs,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,NORTHERN,7,22450(a),2023-09-20 14:06:00,"BARRETT AVE AND 24TH ST, RICHMOND, CA",37.938234,-122.345748,1.0,intersection,Richmond,CA,Contra Costa County,94804
2023-0008239,2023-09-20,18:29:00,HILLTOP DR,SHANE DR,Wednesday,,Improper Turning,No,Hit Object,Fixed Object,No Pedestrian Involved,,8,22107,2023-09-20 18:29:00,"HILLTOP DR AND SHANE DR, RICHMOND, CA",37.977786,-122.333837,0.42,intersection,San Pablo,CA,Contra Costa County,94806
2023-0008240,2023-09-20,18:33:00,I-80 W,POWELL ST,Wednesday,,Unsafe Speed,No,Hit Object,Fixed Object,No Pedestrian Involved,OCL,OOJ,22350,2023-09-20 18:33:00,"I-80 W AND POWELL ST, RICHMOND, CA",37.83818,-122.296826,0.78,intersection,Emeryville,CA,Alameda County,94608
2023-0008251,2023-09-21,07:46:00,CUTTING BLVD,S 15TH ST,Thursday,,Auto R/W Violation,No,Sideswipe,Other Motor Vehicle,No Pedestrian Involved,SOUTHERN,2,21801(a),2023-09-21 07:46:00,"CUTTING BLVD AND S 15TH ST, RICHMOND, CA",37.925202,-122.354909,1.0,intersection,Richmond,CA,Contra Costa County,94804
2023-0008273,2023-09-21,18:37:00,SAN PABLO AVE,HILLTOP DR,Thursday,,Following Too Closely,Misdemeanor,Rear-End,Other Motor Vehicle,No Pedestrian Involved,,8,21703,2023-09-21 18:37:00,"SAN PABLO AVE AND HILLTOP DR, RICHMOND, CA",37.987184,-122.339643,0.66,intersection,San Pablo,CA,Contra Costa County,94806
2023-0008275,2023-09-21,17:58:00,HILLTOP MALL RD,GARRITY WAY,Thursday,,Other Improper Driving,Misdemeanor,Sideswipe,Other Motor Vehicle,No Pedestrian Involved,NORTHERN,8,,2023-09-21 17:58:00,"HILLTOP MALL RD AND GARRITY WAY, RICHMOND, CA",37.947523,-122.384032,0.5,place,Richmond,CA,Contra Costa County,94801
2023-0008298,2023-09-22,10:20:00,WALL AVE,S 45TH ST,Friday,,Unsafe Speed,Misdemeanor,Head-On,Other Motor Vehicle,No Pedestrian Involved,SOUTHERN,3,22350,2023-09-22 10:20:00,"WALL AVE AND S 45TH ST, RICHMOND, CA",37.929338,-122.327248,0.92,intersection,Richmond,CA,Contra Costa County,94804
2023-0008299,2023-09-22,11:22:00,W CUTTING BLVD,CANAL BLVD,Friday,,Auto R/W Violation,No,Broadside,Bicycle,No Pedestrian Involved,,1,21801(a),2023-09-22 11:22:00,"W CUTTING BLVD AND CANAL BLVD, RICHMOND, CA",37.925272,-122.378206,1.0,intersection,Richmond,CA,Contra Costa County,94804
2023-0008327,2023-09-23,10:10:00,23RD ST,LINCOLN AVE,Saturday,,Unsafe Speed,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,NORTHERN,4,22350,2023-09-23 10:10:00,"23RD ST AND LINCOLN AVE, RICHMOND, CA",37.946382,-122.347455,0.78,intersection,Richmond,CA,Contra Costa County,94804
2023-0008363,2023-09-24,18:42:00,SAN JOAQUIN ST,PANAMA AVE,Sunday,,Unsafe Speed,Misdemeanor,Rear-End,Parked Motor Vehicle,No Pedestrian Involved,SOUTHERN,3,22350,2023-09-24 18:42:00,"SAN JOAQUIN ST AND PANAMA AVE, RICHMOND, CA",37.909165,-122.317244,1.0,street_center,Richmond,CA,Contra Costa County,94804
2023-0008381,2023-09-25,08:09:00,BARRETT AVE,MARINA WAY,Monday,,Driving Under Influence,Felony,Vehicle - Pedestrian,Pedestrian,Not In Road,CENTRAL,5,23152(f),2023-09-25 08:09:00,"BARRETT AVE AND MARINA WAY, RICHMOND, CA",37.938438,-122.357108,0.9,intersection,Richmond,CA,Contra Costa County,94801
2023-0008390,2023-09-25,11:15:00,MACDONALD AVE,SAN PABLO AVE,Monday,,Traffic Signals and Signs,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,NORTHERN,7,21453(b),2023-09-25 11:15:00,"MACDONALD AVE AND SAN PABLO AVE, RICHMOND, CA",37.932296,-122.323367,1.0,intersection,Richmond,CA,Contra Costa County,94805
2023-0008401,2023-09-25,12:50:00,23RD ST,BISSELL AVE,Monday,,Following Too Closely,Misdemeanor,Rear-End,Other Motor Vehicle,No Pedestrian Involved,CENTRAL,4,21703,2023-09-25 12:50:00,"23RD ST AND BISSELL AVE, RICHMOND, CA",37.934126,-122.347556,0.9,intersection,Richmond,CA,Contra Costa County,94804
2023-0008406,2023-09-25,17:30:00,CUTTING BLVD,S 19TH ST,Monday,,Unknown,No,Rear-End,Parked Motor Vehicle,No Pedestrian Involved,,2,,2023-09-25 17:30:00,"CUTTING BLVD AND S 19TH ST, RICHMOND, CA",37.925198,-122.351272,1.0,intersection,Richmond,CA,Contra Costa County,94804
2023-0008448,2023-09-27,21:03:00,RICHMOND PKWY,LAKESIDE DR,Wednesday,,Wrong Side of Road,Felony,Head-On,Other Motor Vehicle,No Pedestrian Involved,NORTHERN,8,21651(b),2023-09-27 21:03:00,"RICHMOND PKWY AND LAKESIDE DR, RICHMOND, CA",37.989972,-122.328664,0.8,intersection,San Pablo,CA,Contra Costa County,94806
2023-0008467,2023-09-23,23:00:00,CLINTON AVE,31ST ST,Saturday,,Improper Turning,Misdemeanor,Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,NORTHERN,7,22107,2023-09-23 23:00:00,"CLINTON AVE AND 31ST ST, RICHMOND, CA",37.942169,-122.337747,1.0,intersection,Richmond,CA,Contra Costa County,94804
2023-0008486,2023-09-27,19:45:00,S 19TH ST,OHIO AVE,Wednesday,,Pedestrian Violation,No,Vehicle - Pedestrian,Pedestrian,In Road,SOUTHERN,2,21954(b),2023-09-27 19:45:00,"S 19TH ST AND OHIO AVE, RICHMOND, CA",37.930754,-122.351284,0.93,intersection,Richmond,CA,Contra Costa County,94804
