report_number,collision_date,collision_time,primary_road,secondary_road,collision_day_of_week,number_of_parties,primary_collision_factor,hit_and_run,collision_type,involved_with,pedestrian_action,reporting_district,police_beat,violation,timestamp,intersection,Latitude,Longitude,Accuracy Score,Accuracy Type,City,State,County,Zip
2020-00006039,2202-06-30,13:25:00,MACDONALD AVE,16TH ST,Wednesday,,Unsafe Speed,Misdemeanor,Rear-End,Other Motor Vehicle,No Pedestrian Involved,CENTRAL,6,22350,2202-06-30 13:25:00,"MACDONALD AVE AND 16TH ST, RICHMOND, CA",37.9356,-122.35425,0.99,intersection,Richmond,CA,Contra Costa County,94801
2020-0007656,2020-08-22,07:35:00,RICHMOND PKWY,LAKESIDE DR,Saturday,,Unsafe Speed,No,Rear-End,Other Motor Vehicle,No Pedestrian Involved,NORTHERN,,22350,2020-08-22 07:35:00,"RICHMOND PKWY AND LAKESIDE DR, RICHMOND, CA",37.989972,-122.328664,0.8,intersection,San Pablo,CA,Contra Costa County,94806
2020-0008447,2020-09-02,20:08:00,CUTTING BLVD,S. 34TH ST,Wednesday,,Auto R/W Violation,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,SOUTHERN,,21801A,2020-09-02 20:08:00,"CUTTING BLVD AND S. 34TH ST, RICHMOND, CA",37.925244,-122.336718,0.96,intersection,Richmond,CA,Contra Costa County,94804
2020-0011521,2020-12-22,07:04:00,29TH ST,RHEEM AVE,Tuesday,,Traffic Signals and Signs,No,Broadside,Bicycle,No Pedestrian Involved,NORTHERN,7,22450A,2020-12-22 07:04:00,"29TH ST AND RHEEM AVE, RICHMOND, CA",37.949861,-122.338819,1.0,intersection,Richmond,CA,Contra Costa County,94804
2020-008872,2020-09-28,15:23:00,CUTTING BLVD,HARBOUR WY S,Monday,,Driving Under Influence,No,Rear-End,Other Motor Vehicle,No Pedestrian Involved,SOUTHERN,,23152A,2020-09-28 15:23:00,"CUTTING BLVD AND HARBOUR WY S, RICHMOND, CA",37.925213,-122.360055,1.0,intersection,Richmond,CA,Contra Costa County,94804
2020-20000031,2020-01-01,18:18:00,BARRETT AV,36TH ST,Wednesday,3.0,Traffic Signals and Signs,No,Broadside,,No Pedestrian Involved,NORTHERN,,22450,2020-01-01 18:18:00,"BARRETT AV AND 36TH ST, RICHMOND, CA",37.936645,-122.334573,1.0,intersection,Richmond,CA,Contra Costa County,94805
2020-20082126,2020-08-21,18:32:00,23RD ST,MAINE AV,Friday,,Not Stated,Misdemeanor,Rear-End,Other Motor Vehicle,No Pedestrian Involved,CENTRAL,,,2020-08-21 18:32:00,"23RD ST AND MAINE AV, RICHMOND, CA",37.928006,-122.347646,0.8,intersection,Richmond,CA,Contra Costa County,94804
2021-00007283,2021-08-07,02:16:00,27TH ST,NEVIN AVE,Saturday,,Traffic Signals and Signs,Misdemeanor,Broadside,Other Motor Vehicle,No Pedestrian Involved,NORTHERN,7,22450A,2021-08-07 02:16:00,"27TH ST AND NEVIN AVE, RICHMOND, CA",37.936208,-122.342651,1.0,intersection,Richmond,CA,Contra Costa County,94804
2021-00009256,2021-10-07,16:00:00,23RD ST,BISSELL AVE,Thursday,,Unknown,Misdemeanor,Sideswipe,Other Motor Vehicle,No Pedestrian Involved,CENTRAL,4,,2021-10-07 16:00:00,"23RD ST AND BISSELL AVE, RICHMOND, CA",37.934126,-122.347556,0.9,intersection,Richmond,CA,Contra Costa County,94804
2021-00010895,2021-11-27,22:00:00,PAYNE DR,BELL WAY,Saturday,,Improper Turning,Misdemeanor,Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,NORTHERN,8,22107,2021-11-27 22:00:00,"PAYNE DR AND BELL WAY, RICHMOND, CA",37.98623,-122.355668,1.0,intersection,San Pablo,CA,Contra Costa County,94806
2021-00011206,2021-12-07,13:18:00,FACTORY ST,HENSLEY ST,Tuesday,,,Misdemeanor,Rear-End,Parked Motor Vehicle,No Pedestrian Involved,CENTRAL,5,20002 - Hit and Run,2021-12-07 13:18:00,"FACTORY ST AND HENSLEY ST, RICHMOND, CA",37.947344,-122.367031,0.91,intersection,Richmond,CA,Contra Costa County,94801
2021-00011300,2021-12-12,10:17:00,6TH ST,LUCAS AVE,Sunday,,,Misdemeanor,Head-On,Parked Motor Vehicle,No Pedestrian Involved,CENTRAL,5,23103,2021-12-12 10:17:00,"6TH ST AND LUCAS AVE, RICHMOND, CA",37.944448,-122.363666,1.0,intersection,Richmond,CA,Contra Costa County,94801
2021-00011433,2021-12-16,16:30:00,HILLTOP MALL RD,AUTUMN DR,Thursday,,Unknown,No,Not Stated,Not Stated,Not Stated,NORTHERN,8,,2021-12-16 16:30:00,"HILLTOP MALL RD AND AUTUMN DR, RICHMOND, CA",37.947523,-122.384032,0.5,place,Richmond,CA,Contra Costa County,94801
2021-0010211,2021-11-06,19:17:00,CLINTON AVE,23RD ST,Saturday,,Wrong Side of Road,No,Rear-End,Parked Motor Vehicle,No Pedestrian Involved,,4,21650,2021-11-06 19:17:00,"CLINTON AVE AND 23RD ST, RICHMOND, CA",37.942247,-122.347485,0.82,intersection,Richmond,CA,Contra Costa County,94804
2021-0011423,2021-12-16,13:51:00,BURBECK AVE,20TH ST,Thursday,,,Misdemeanor,Sideswipe,Other Motor Vehicle,Not Stated,CENTRAL,4,21651(a),2021-12-16 13:51:00,"BURBECK AVE AND 20TH ST, RICHMOND, CA",37.94312,-122.35014,1.0,intersection,Richmond,CA,Contra Costa County,94801
2021-0011834,2021-12-29,20:40:00,20TH ST,RHEEM AVE,Wednesday,,Unsafe Speed,Misdemeanor,Rear-End,Other Motor Vehicle,No Pedestrian Involved,CENTRAL,4,22350,2021-12-29 20:40:00,"20TH ST AND RHEEM AVE, RICHMOND, CA",37.948836,-122.35014,0.96,intersection,Richmond,CA,Contra Costa County,94801
2021-21041623,2021-04-16,18:03:00,OHIO AV,7TH ST,Friday,,Not Stated,No,Not Stated,Not Stated,Not Stated,SOUTHERN,1,,2021-04-16 18:03:00,"OHIO AV AND 7TH ST, RICHMOND, CA",37.930827,-122.362989,0.72,intersection,Richmond,CA,Contra Costa County,94804
2021-21121107,2021-12-11,08:51:00,RHEEM AVE,18TH ST,Saturday,,Unknown,No,Not Stated,Not Stated,Not Stated,CENTRAL,4,,2021-12-11 08:51:00,"RHEEM AVE AND 18TH ST, RICHMOND, CA",37.948836,-122.352081,0.96,intersection,Richmond,CA,Contra Costa County,94801
2022-0000029,2023-01-02,04:39:00,SAN PABLO AVE,SOLANO AVE,Monday,,Improper Turning,Misdemeanor,Sideswipe,Other Motor Vehicle,No Pedestrian Involved,NORTHERN,7,22107,2023-01-02 04:39:00,"SAN PABLO AVE AND SOLANO AVE, RICHMOND, CA",37.941971,-122.328213,1.0,intersection,Richmond,CA,Contra Costa County,94805
2022-00000529,2022-01-19,05:30:00,RICHMOND PKWY,W GERTRUDE AVE,Wednesday,,Unsafe Lane Change,Misdemeanor,Sideswipe,Other Motor Vehicle,No Pedestrian Involved,SOUTHERN,1,21658(a),2022-01-19 05:30:00,"RICHMOND PKWY AND W GERTRUDE AVE, RICHMOND, CA",37.954051,-122.373572,0.99,intersection,Richmond,CA,Contra Costa County,94801
2022-00000793,2022-01-27,14:47:00,SAN PABLO AVE,SOLANO AVE,Thursday,,Auto R/W Violation,Felony,Broadside,Other Motor Vehicle,No Pedestrian Involved,NORTHERN,7,21801(a),2022-01-27 14:47:00,"SAN PABLO AVE AND SOLANO AVE, RICHMOND, CA",37.941971,-122.328213,1.0,intersection,Richmond,CA,Contra Costa County,94805
2022-00001439,2022-02-16,03:57:00,SAN PABLO AVE,W MACARTHUR BLVD,Wednesday,,Unsafe Speed,Misdemeanor,Hit Object,Fixed Object,No Pedestrian Involved,,OOJ,22350,2022-02-16 03:57:00,"SAN PABLO AVE AND W MACARTHUR BLVD, RICHMOND, CA",37.966553,-122.350715,0.43,intersection,San Pablo,CA,Contra Costa County,94806
2022-0000169,2022-02-22,17:30:00,CENTRAL AVE,SAN LUIS ST,Tuesday,,Traffic Signals and Signs,Misdemeanor,Broadside,Other Motor Vehicle,No Pedestrian Involved,SOUTHERN,3,21453(a),2022-02-22 17:30:00,"CENTRAL AVE AND SAN LUIS ST, RICHMOND, CA",37.901064,-122.309806,0.8,intersection,Richmond,CA,Contra Costa County,94804
2022-0000177,2022-02-24,19:57:00,HILLTOP DR,HILLVIEW DR,Thursday,,Improper Turning,No,Hit Object,Fixed Object,No Pedestrian Involved,NORTHERN,8,22107,2022-02-24 19:57:00,"HILLTOP DR AND HILLVIEW DR, RICHMOND, CA",37.947523,-122.384032,0.5,place,Richmond,CA,Contra Costa County,94801
2022-0000196,2022-03-03,07:54:00,13TH ST,ESMOND AVE,Thursday,,Ped R/W Violation,Felony,Vehicle - Pedestrian,Pedestrian,Crossing In Crosswalk Not At Intersection,CENTRAL,4,21950(a),2022-03-03 07:54:00,"13TH ST AND ESMOND AVE, RICHMOND, CA",37.94526,-122.357379,0.81,intersection,Richmond,CA,Contra Costa County,94801
2022-0000336,2022-04-20,09:30:00,BARRETT AVE,19TH ST,Wednesday,,Auto R/W Violation,No,Head-On,Other Motor Vehicle,No Pedestrian Involved,NORTHERN,4,21801(a),2022-04-20 09:30:00,"BARRETT AVE AND 19TH ST, RICHMOND, CA",37.938463,-122.351497,1.0,intersection,Richmond,CA,Contra Costa County,94801
2022-0000336,2022-04-20,09:30:00,S 7TH ST,VIRGINIA AVE,Wednesday,,Auto R/W Violation,No,Head-On,Other Motor Vehicle,No Pedestrian Involved,NORTHERN,1,21801(a),2022-04-20 09:30:00,"S 7TH ST AND VIRGINIA AVE, RICHMOND, CA",37.926633,-122.363006,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0000385,2022-05-07,19:36:00,24TH ST,GAYNOR AVE,Saturday,,Traffic Signals and Signs,No,Broadside,Parked Motor Vehicle,No Pedestrian Involved,NORTHERN,7,22450(a),2022-05-07 19:36:00,"24TH ST AND GAYNOR AVE, RICHMOND, CA",37.944361,-122.345434,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0000386,2022-05-08,03:00:00,23RD ST,22ND ST,Sunday,,Unsafe Lane Change,Misdemeanor,Hit Object,Fixed Object,No Pedestrian Involved,CENTRAL,4,21658(a),2022-05-08 03:00:00,"23RD ST AND 22ND ST, RICHMOND, CA",37.958793,-122.347837,0.91,intersection,San Pablo,CA,Contra Costa County,94806
2022-0000516,2022-06-27,01:01:00,7TH ST,LINCOLN AVE,Monday,,Improper Turning,Misdemeanor,Rear-End,Parked Motor Vehicle,No Pedestrian Involved,CENTRAL,5,22107,2022-06-27 01:01:00,"7TH ST AND LINCOLN AVE, RICHMOND, CA",37.946142,-122.36272,1.0,intersection,Richmond,CA,Contra Costa County,94801
2022-0000573,2022-01-20,17:50:00,23RD ST,MACDONALD AVE,Thursday,,Unknown,No,Not Stated,Not Stated,Not Stated,CENTRAL,4,,2022-01-20 17:50:00,"23RD ST AND MACDONALD AVE, RICHMOND, CA",37.935718,-122.347547,0.88,intersection,Richmond,CA,Contra Costa County,94804
2022-0000635,2022-01-22,20:50:00,MARINA WAY,CHANSLOR AVE,Saturday,,Traffic Signals and Signs,Misdemeanor,Rear-End,Other Motor Vehicle,No Pedestrian Involved,CENTRAL,6,22450(a),2022-01-22 20:50:00,"MARINA WAY AND CHANSLOR AVE, RICHMOND, CA",37.932468,-122.356157,1.0,intersection,Richmond,CA,Contra Costa County,94801
2022-0000758,2022-09-19,09:11:00,MONO ST,W RICHMOND AVE,Monday,,Unsafe Speed,Misdemeanor,Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,SOUTHERN,1,22350,2022-09-19 09:11:00,"MONO ST AND W RICHMOND AVE, RICHMOND, CA",37.928024,-122.389277,0.98,intersection,Richmond,CA,Contra Costa County,94801
2022-0001079,2022-02-05,06:14:00,S 11TH ST,POTRERO AVE,Saturday,,,No,Hit Object,Fixed Object,No Pedestrian Involved,SOUTHERN,2,23153(a) CVC,2022-02-05 06:14:00,"S 11TH ST AND POTRERO AVE, RICHMOND, CA",37.92403,-122.359052,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0001092,2022-02-05,16:33:00,23RD ST,EXCHANGE PL,Saturday,,Unsafe Speed,Misdemeanor,Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,NORTHERN,4,22350,2022-02-05 16:33:00,"23RD ST AND EXCHANGE PL, RICHMOND, CA",37.935016,-122.347549,0.89,intersection,Richmond,CA,Contra Costa County,94804
2022-0001217,2022-02-09,11:40:00,POTRERO AVE,S 47TH ST,Wednesday,,Wrong Side of Road,Misdemeanor,Sideswipe,Other Motor Vehicle,No Pedestrian Involved,SOUTHERN,3,21650,2022-02-09 11:40:00,"POTRERO AVE AND S 47TH ST, RICHMOND, CA",37.921183,-122.325414,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0001290,2022-02-11,11:43:00,DOWNER AVE,30TH ST,Friday,,Improper Turning,No,Hit Object,Fixed Object,No Pedestrian Involved,NORTHERN,7,22107,2022-02-11 11:43:00,"DOWNER AVE AND 30TH ST, RICHMOND, CA",37.943,-122.338412,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0001350,2022-02-13,17:47:00,23RD ST,BISSELL AVE,Sunday,,Driving Under Influence,No,Sideswipe,Other Motor Vehicle,No Pedestrian Involved,CENTRAL,4,23152(a),2022-02-13 17:47:00,"23RD ST AND BISSELL AVE, RICHMOND, CA",37.934126,-122.347556,0.9,intersection,Richmond,CA,Contra Costa County,94804
2022-0001391,2022-02-14,18:33:00,MACDONALD AVE,23RD ST,Monday,,Traffic Signals and Signs,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,CENTRAL,4,21453(a),2022-02-14 18:33:00,"MACDONALD AVE AND 23RD ST, RICHMOND, CA",37.935718,-122.347547,0.88,intersection,Richmond,CA,Contra Costa County,94804
2022-0001445,2022-02-16,08:03:00,RICHMOND PKWY,HILLTOP DR,Wednesday,,Driving Under Influence,No,Hit Object,Fixed Object,No Pedestrian Involved,NORTHERN,8,23152(b),2022-02-16 08:03:00,"RICHMOND PKWY AND HILLTOP DR, RICHMOND, CA",37.987184,-122.339643,0.99,intersection,San Pablo,CA,Contra Costa County,94806
2022-0001470,2022-02-16,14:30:00,BARRETT AVE,19TH ST,Wednesday,,Unknown,Misdemeanor,Rear-End,Other Motor Vehicle,No Pedestrian Involved,CENTRAL,4,,2022-02-16 14:30:00,"BARRETT AVE AND 19TH ST, RICHMOND, CA",37.938463,-122.351497,1.0,intersection,Richmond,CA,Contra Costa County,94801
2022-0001543,2022-02-18,19:22:00,ROOSEVELT AVE,32ND ST,Friday,,Traffic Signals and Signs,Misdemeanor,Broadside,Other Motor Vehicle,No Pedestrian Involved,NORTHERN,7,22450(a),2022-02-18 19:22:00,"ROOSEVELT AVE AND 32ND ST, RICHMOND, CA",37.938682,-122.337702,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0001580,2022-02-19,22:57:00,CUTTING BLVD,STEGE AVE,Saturday,,Improper Turning,No,Sideswipe,Other Motor Vehicle,No Pedestrian Involved,SOUTHERN,3,22107,2022-02-19 22:57:00,"CUTTING BLVD AND STEGE AVE, RICHMOND, CA",37.925244,-122.336718,0.96,intersection,Richmond,CA,Contra Costa County,94804
2022-0001600,2022-02-20,15:37:00,SAN PABLO AVE,HILLTOP DR,Sunday,,Other Improper Driving,No,Sideswipe,Other Motor Vehicle,No Pedestrian Involved,NORTHERN,8,,2022-02-20 15:37:00,"SAN PABLO AVE AND HILLTOP DR, RICHMOND, CA",37.987184,-122.339643,0.66,intersection,San Pablo,CA,Contra Costa County,94806
2022-0001638,2022-02-21,16:05:00,RHEEM AVE,17TH ST,Monday,,Improper Turning,Misdemeanor,Broadside,Other Motor Vehicle,No Pedestrian Involved,CENTRAL,4,22100(b),2022-02-21 16:05:00,"RHEEM AVE AND 17TH ST, RICHMOND, CA",37.949576,-122.353808,1.0,intersection,Richmond,CA,Contra Costa County,94801
2022-0001639,2022-02-21,16:30:00,SACRAMENTO AVE,CARLSON BLVD,Monday,,Wrong Side of Road,Misdemeanor,Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,SOUTHERN,3,21650,2022-02-21 16:30:00,"SACRAMENTO AVE AND CARLSON BLVD, RICHMOND, CA",37.90523,-122.310418,1.0,street_center,Richmond,CA,Contra Costa County,94804
2022-0001678,2022-02-22,13:28:00,HELLINGS AVE,18TH ST,Tuesday,,Traffic Signals and Signs,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,CENTRAL,4,22450(a),2022-02-22 13:28:00,"HELLINGS AVE AND 18TH ST, RICHMOND, CA",37.948125,-122.352076,1.0,intersection,Richmond,CA,Contra Costa County,94801
2022-0001684,2022-02-22,15:48:00,29TH ST,MARICOPA AVE,Tuesday,,Unknown,No,Not Stated,Not Stated,Not Stated,NORTHERN,7,,2022-02-22 15:48:00,"29TH ST AND MARICOPA AVE, RICHMOND, CA",37.950603,-122.338816,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0001687,2022-02-22,16:51:00,NEVIN AVE,HARBOUR WAY,Tuesday,,Unsafe Lane Change,No,Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,CENTRAL,6,21658(a),2022-02-22 16:51:00,"NEVIN AVE AND HARBOUR WAY, RICHMOND, CA",37.936828,-122.36,1.0,intersection,Richmond,CA,Contra Costa County,94801
2022-0001705,2022-02-23,07:34:00,HILLTOP MALL RD,ROBERT MILLER DR,Wednesday,,Improper Turning,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,,8,22107,2022-02-23 07:34:00,"HILLTOP MALL RD AND ROBERT MILLER DR, RICHMOND, CA",37.977786,-122.333837,0.71,intersection,San Pablo,CA,Contra Costa County,94806
2022-0001711,2022-02-23,10:10:00,HILLTOP MALL RD,KLOSE WAY,Wednesday,,Improper Turning,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,NORTHERN,8,22107,2022-02-23 10:10:00,"HILLTOP MALL RD AND KLOSE WAY, RICHMOND, CA",37.947523,-122.384032,0.5,place,Richmond,CA,Contra Costa County,94801
2022-0001714,2022-02-23,10:41:00,BARRETT AVE,37TH ST,Wednesday,,Auto R/W Violation,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,NORTHERN,7,21801(a),2022-02-23 10:41:00,"BARRETT AVE AND 37TH ST, RICHMOND, CA",37.936509,-122.333617,1.0,intersection,Richmond,CA,Contra Costa County,94805
2022-0001722,2022-02-23,14:39:00,ELLS LN,FLEMING AVE,Wednesday,,Wrong Side of Road,No,Hit Object,Fixed Object,No Pedestrian Involved,SOUTHERN,3,21650,2022-02-23 14:39:00,"ELLS LN AND FLEMING AVE, RICHMOND, CA",37.917051,-122.322531,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0001749,2022-02-24,09:14:00,PIERCE ST,CENTRAL AVE,Thursday,,Wrong Side of Road,No,Hit Object,Fixed Object,No Pedestrian Involved,SOUTHERN,3,21650,2022-02-24 09:14:00,"PIERCE ST AND CENTRAL AVE, RICHMOND, CA",37.901064,-122.309806,0.81,intersection,Richmond,CA,Contra Costa County,94804
2022-0001779,2022-02-25,05:22:00,22ND ST,BARRETT AVE,Friday,,Traffic Signals and Signs,No,Broadside,Bicycle,No Pedestrian Involved,CENTRAL,4,21453(a),2022-02-25 05:22:00,"22ND ST AND BARRETT AVE, RICHMOND, CA",37.938468,-122.348544,1.0,intersection,Richmond,CA,Contra Costa County,94801
2022-0001785,2022-02-25,07:44:00,CUTTING BLVD,S 49TH ST,Friday,,Unsafe Speed,No,Rear-End,Other Motor Vehicle,No Pedestrian Involved,SOUTHERN,3,22350,2022-02-25 07:44:00,"CUTTING BLVD AND S 49TH ST, RICHMOND, CA",37.925491,-122.32358,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0001788,2022-02-25,08:23:00,CANAL BLVD,W CUTTING BLVD,Friday,,Improper Turning,Misdemeanor,Sideswipe,Other Motor Vehicle,No Pedestrian Involved,SOUTHERN,1,22107,2022-02-25 08:23:00,"CANAL BLVD AND W CUTTING BLVD, RICHMOND, CA",37.925272,-122.378206,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0001805,2022-02-25,15:30:00,RUMRILL BLVD,RHEEM AVE,Friday,,Unsafe Speed,Misdemeanor,Broadside,Other Motor Vehicle,No Pedestrian Involved,CENTRAL,,22350,2022-02-25 15:30:00,"RUMRILL BLVD AND RHEEM AVE, RICHMOND, CA",37.947523,-122.384032,1.0,place,Richmond,CA,Contra Costa County,94801
2022-0001816,2022-02-26,05:58:00,CHANSLOR AVE,37TH ST,Saturday,,Unsafe Lane Change,Misdemeanor,Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,NORTHERN,7,21658(a),2022-02-26 05:58:00,"CHANSLOR AVE AND 37TH ST, RICHMOND, CA",37.932417,-122.334557,1.0,intersection,Richmond,CA,Contra Costa County,94805
2022-0001835,2022-02-26,17:47:00,HARBOUR WAY S,CUTTING BLVD,Saturday,,Improper Turning,No,Hit Object,Fixed Object,No Pedestrian Involved,SOUTHERN,1,22107,2022-02-26 17:47:00,"HARBOUR WAY S AND CUTTING BLVD, RICHMOND, CA",37.925213,-122.360055,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0001851,2022-02-27,09:46:00,SAN PABLO AVE,CLINTON AVE,Sunday,,Unknown,No,Not Stated,Not Stated,Not Stated,,7,,2022-02-27 09:46:00,"SAN PABLO AVE AND CLINTON AVE, RICHMOND, CA",37.940372,-122.32745,1.0,intersection,Richmond,CA,Contra Costa County,94805
2022-0001856,2022-02-27,15:09:00,CARLSON BLVD,HUNTINGTON AVE,Sunday,,Auto R/W Violation,No,Broadside,Motor Vehicle on Other Roadway,No Pedestrian Involved,SOUTHERN,3,21801(a),2022-02-27 15:09:00,"CARLSON BLVD AND HUNTINGTON AVE, RICHMOND, CA",37.907735,-122.308543,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0001859,2022-02-27,17:28:00,44TH ST,MACDONALD AVE,Sunday,,Unsafe Speed,Misdemeanor,Rear-End,Other Motor Vehicle,No Pedestrian Involved,NORTHERN,7,22350,2022-02-27 17:28:00,"44TH ST AND MACDONALD AVE, RICHMOND, CA",37.932957,-122.328198,1.0,intersection,Richmond,CA,Contra Costa County,94805
2022-0001860,2022-02-27,20:06:00,HARBOUR WAY S,CUTTING BLVD,Sunday,,Traffic Signals and Signs,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,SOUTHERN,1,21453(a),2022-02-27 20:06:00,"HARBOUR WAY S AND CUTTING BLVD, RICHMOND, CA",37.925213,-122.360055,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0001861,2022-02-27,20:15:00,CARLSON BLVD,CARL AVE,Sunday,,Unsafe Speed,No,Rear-End,Parked Motor Vehicle,No Pedestrian Involved,SOUTHERN,3,22350,2022-02-27 20:15:00,"CARLSON BLVD AND CARL AVE, RICHMOND, CA",37.912502,-122.320305,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0001867,2022-02-28,03:30:00,7TH ST,LUCAS AVE,Monday,,Unknown,No,Not Stated,Not Stated,Not Stated,CENTRAL,5,,2022-02-28 03:30:00,"7TH ST AND LUCAS AVE, RICHMOND, CA",37.944445,-122.362683,1.0,intersection,Richmond,CA,Contra Costa County,94801
2022-0001871,2022-02-27,22:00:00,E MAIN AVE,EAST LN,Sunday,,Unknown,Misdemeanor,Sideswipe,Other Motor Vehicle,No Pedestrian Involved,SOUTHERN,Outside City Limit (OCL),,2022-02-27 22:00:00,"E MAIN AVE AND EAST LN, RICHMOND, CA",37.947523,-122.384032,0.5,place,Richmond,CA,Contra Costa County,94801
2022-0001872,2022-02-28,10:30:00,22ND ST,NEVIN AVE,Monday,,Improper Turning,No,Hit Object,Fixed Object,No Pedestrian Involved,CENTRAL,4,22107,2022-02-28 10:30:00,"22ND ST AND NEVIN AVE, RICHMOND, CA",37.936862,-122.348558,1.0,intersection,Richmond,CA,Contra Costa County,94801
2022-0001890,2022-02-28,11:02:00,BARRETT AVE,27TH ST,Monday,,Unknown,Misdemeanor,Rear-End,Other Motor Vehicle,No Pedestrian Involved,NORTHERN,7,,2022-02-28 11:02:00,"BARRETT AVE AND 27TH ST, RICHMOND, CA",37.937739,-122.342298,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0001893,2022-02-28,20:35:00,BARRETT AVE,22ND ST,Monday,,Improper Turning,Misdemeanor,Head-On,Other Motor Vehicle,No Pedestrian Involved,CENTRAL,4,22100(a),2022-02-28 20:35:00,"BARRETT AVE AND 22ND ST, RICHMOND, CA",37.938468,-122.348544,1.0,intersection,Richmond,CA,Contra Costa County,94801
2022-0001947,2022-03-02,14:02:00,CARLSON BLVD,BROADWAY,Wednesday,,Traffic Signals and Signs,Misdemeanor,Broadside,Other Motor Vehicle,No Pedestrian Involved,CENTRAL,7,21453(a),2022-03-02 14:02:00,"CARLSON BLVD AND BROADWAY, RICHMOND, CA",37.932578,-122.346523,0.88,intersection,Richmond,CA,Contra Costa County,94804
2022-0001950,2022-03-02,15:54:00,CUTTING BLVD,S 34TH ST,Wednesday,,Driving Under Influence,No,Rear-End,Other Motor Vehicle,No Pedestrian Involved,SOUTHERN,3,23152(a),2022-03-02 15:54:00,"CUTTING BLVD AND S 34TH ST, RICHMOND, CA",37.925244,-122.336718,0.96,intersection,Richmond,CA,Contra Costa County,94804
2022-0002021,2022-03-04,18:00:00,MCBRYDE AVE,SAN PABLO AVE,Friday,,Improper Passing,Misdemeanor,Sideswipe,Other Motor Vehicle,No Pedestrian Involved,,7,21750,2022-03-04 18:00:00,"MCBRYDE AVE AND SAN PABLO AVE, RICHMOND, CA",37.947257,-122.330743,1.0,intersection,Richmond,CA,Contra Costa County,94805
2022-0002022,2022-03-04,16:38:00,CASTRO ST,MILLS ST E,Friday,,Unknown,No,Not Stated,Not Stated,Not Stated,SOUTHERN,1,,2022-03-04 16:38:00,"CASTRO ST AND MILLS ST E, RICHMOND, CA",38.014609,-122.135331,0.8,intersection,Martinez,CA,Contra Costa County,94553
2022-0002027,2022-03-04,18:51:00,RHEEM AVE,29TH ST,Friday,,Traffic Signals and Signs,Misdemeanor,Broadside,Other Motor Vehicle,No Pedestrian Involved,,7,22450(a),2022-03-04 18:51:00,"RHEEM AVE AND 29TH ST, RICHMOND, CA",37.949861,-122.338819,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0002030,2022-03-04,21:47:00,JULIGA WOODS ST,S 32ND ST,Friday,,Unsafe Speed,No,Hit Object,Fixed Object,No Pedestrian Involved,SOUTHERN,2,22350,2022-03-04 21:47:00,"JULIGA WOODS ST AND S 32ND ST, RICHMOND, CA",37.947523,-122.384032,0.5,place,Richmond,CA,Contra Costa County,94801
2022-0002042,2022-03-05,13:54:00,ROBERT MILLER DR,HILLTOP DR,Saturday,,Improper Turning,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,,8,22107,2022-03-05 13:54:00,"ROBERT MILLER DR AND HILLTOP DR, RICHMOND, CA",37.977786,-122.333837,0.91,intersection,San Pablo,CA,Contra Costa County,94806
2022-0002068,2022-03-06,18:37:00,RHEEM AVE,17TH ST,Sunday,,Unknown,No,Not Stated,Not Stated,Not Stated,CENTRAL,4,,2022-03-06 18:37:00,"RHEEM AVE AND 17TH ST, RICHMOND, CA",37.949576,-122.353808,1.0,intersection,Richmond,CA,Contra Costa County,94801
2022-0002074,2022-03-06,21:33:00,RHEEM AVE,20TH ST,Sunday,,Improper Turning,No,Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,,4,22107,2022-03-06 21:33:00,"RHEEM AVE AND 20TH ST, RICHMOND, CA",37.948836,-122.35014,0.96,intersection,Richmond,CA,Contra Costa County,94801
